id,state.abbrev,station,city,county,zipcode,latitude,longitude
7287,OK,CARNEY POLICE DEPT,Saint Clair,St. Clair County,48079,42.831546,-82.503096
7288,OK,CARTER CTY SHERIFF DEPT,Ardmore,Carter County,73401,34.170530,-97.128619
7289,OK,CATOOSA POLICE DEPT,Catoosa,Rogers County,74015,36.186266,-95.746448
7290,OK,CHANDLER POLICE DEPT,Chandler,Maricopa County,85225,33.301530,-111.838122
7291,OK,CHATTANOOGA POLICE DEPT,Chattanooga,Hamilton County,37406,35.081628,-85.263294
7292,OK,CHEROKEE CTY SHERIFF DEPT,Centre,Cherokee County,35960,34.152841,-85.678115
7293,OK,CHEROKEE NATION MARSHAL SERVICE,Tahlequah,Cherokee County,74464,35.852832,-94.991788
7294,OK,CHICKASAW NATION LIGHTHORSE POLICE,Ada,Pontotoc County,74820,34.775008,-96.695776
7295,OK,CHICKASHA POLICE DEPT,Chickasha,Grady County,73018,35.047593,-97.959578
7296,OK,CHOCTAW CTY SHERIFF DEPT,Ackerman,Choctaw County,39735,33.314394,-89.184843
7297,OK,CHOCTAW POLICE DEPT,Choctaw,Oklahoma County,73020,35.492794,-97.295879
7298,OK,CHOUTEAU POLICE DEPT,Chouteau,Mayes County,74337,36.185930,-95.343024
7299,OK,CIMARRON CTY SHERIFF DEPT,Boise City,Cimarron County,73933,36.729467,-102.513241
7300,OK,CITIZENS POTAWATOMI NATION PD,Shawnee,Pottawatomie County,74801,35.301080,-96.925036
7301,OK,CLEVELAND COUNTY SHERIFF'S OFFICE,Norman,Cleveland County,73069,35.220793,-97.441595
7302,OK,CLEVELAND COUNTY SHERIFFS OFFICE,Norman,Cleveland County,73069,35.220793,-97.441595
7303,OK,COAL CO SHERIFF OFFICE,Coalgate,Coal County,74538,34.538127,-96.218014
7304,OK,COAL COUNTY SHERIFF OFFICE,Coalgate,Coal County,74538,34.538127,-96.218014
7305,OK,COALGATE POLICE DEPARTMENT,Coalgate,Coal County,74538,34.537537,-96.218817
7306,OK,COLCORD POLICE DEPT,Colcord,Delaware County,74338,36.176344,-94.594724
7307,OK,COMANCHE COUNTY SHERIFF DEPT,Lawton,Comanche County,73501,34.604582,-98.396194
7308,OK,COMANCHE NATION POLICE,Lawton,Comanche County,73502,34.725991,-98.400305
7309,OK,COMANCHE POLICE DEPT.,Comanche,Comanche County,76442,31.897091,-98.604317
7310,OK,CRAIG CTY SHERIFF DEPT,Craig,Moffat County,81625,40.506138,-107.556345
7311,OK,CUSTER CTY SHERIFF DEPT,Westcliffe,Custer County,81252,38.134543,-105.462462
7312,OK,CYRIL POLICE DEPT,Cyril,Caddo County,73029,34.896641,-98.201230
7313,OK,DAVENPORT POLICE DEPT,Davenport,Scott County,52803,41.523885,-90.577785
