id,state.abbrev,station,city,county,zipcode,latitude,longitude
5084,MO,OSAGE COUNTY SHERIFF DEPT,,,,,
5085,MO,OSCEOLA POLICE DEPT,,,,,
5086,MO,OZARK COUNTY  SHERIFF DEPT,,,,,
5087,MO,OZARK POLICE DEPARTMENT,,,,,
5088,MO,PACIFIC POLICE DEPT,,,,,
5089,MO,PEMISCOT COUNTY SHERIFF DEPT,,,,,
5090,MO,PEMISCOT COUNTY SHERIFF OFFICE,,,,,
5091,MO,PERRY COUNTY SHERIFF DEPT,,,,,
5092,MO,PERRY COUNTY SHERIFF OFFICE,,,,,
5093,MO,PETTIS COUNTY SHERIFF DEPT,,,,,
5094,MO,PETTIS COUNTY SHERIFFS OFFICE,,,,,
5095,MO,PEVELY POLICE DEPT,,,,,
5096,MO,PIEDMONT POLICE DEPT,,,,,
5097,MO,PIKE COUNTY SHERIFF DEPT,,,,,
5098,MO,PIKE COUNTY SHERIFF OFFICE,,,,,
5099,MO,PILOT GROVE CITY POLICE,,,,,
5100,MO,PINEVILLE POLICE DEPT,,,,,
5101,MO,PLATTE COUNTY SHERIFF DEPT,,,,,
5102,MO,PLATTE COUNTY SHERIFF OFFICE,,,,,
5103,MO,PLATTSBURG POLICE DEPT,,,,,
5104,MO,PLEASANT VALLEY POLICE DEPT,,,,,
5105,MO,POPLAR BLUFF POLICE DEPT,,,,,
5106,MO,PORTAGEVILLE POLICE DEPT,,,,,
5107,MO,PULASKI COUNTY SHERIFF DEPT,,,,,
5108,MO,PURCELL POLICE DEPT,,,,,
5109,MO,PURDY POLICE DEPT,,,,,
5110,MO,RALLS COUNTY SHERIFF DEPT,,,,,
5111,MO,RALLS COUNTY SHERIFF OFFICE,,,,,
5112,MO,RANDOLPH COUNTY SHERIFFS OFFICE,,,,,
5113,MO,RAY COUNTY SHERIFF DEPT,,,,,
5114,MO,RAY COUNTY SHERIFFS DEPT,,,,,
5115,MO,REPUBLIC POLICE DEPARTMENT,,,,,
5116,MO,REPUBLIC POLICE DEPT,,,,,
5117,MO,RICH HILL POLICE DEPT,,,,,
5118,MO,RICHLAND POLICE DEPT,,,,,
5119,MO,RIVERVIEW POLICE DEPT,,,,,
5120,MO,ROLLA POLICE DEPT,,,,,
5121,MO,SAINT ANN POLICE DEPT,,,,,
5122,MO,SAINT CHARLES COUNTY SHERIFF DEPT,,,,,
5123,MO,SAINT CHARLES COUNTY SHERIFF'S DEPT,,,,,
5124,MO,SAINT CHARLES COUNTY SHERIFFS DEPT,,,,,
5125,MO,SAINT CLAIR COUNTY SHERIFF DEPT.,,,,,
5126,MO,SAINT FRANCOIS COUNTY SHERIFF DEPT,,,,,
5127,MO,SAINT GENEVIEVE CTY SHERIFF DEPT,,,,,
5128,MO,SAINT GENEVIEVE CTY SHERIFF OFFICE,,,,,
5129,MO,SAINT JAMES POLICE DEPT,,,,,
5130,MO,SAINT JOSEPH POLICE DEPT,,,,,
5131,MO,SAINT LOUIS COUNTY POLICE DEPT,,,,,
5132,MO,SAINT LOUIS METRO POLICE DEPT,,,,,
5133,MO,SALINE COUNTY SHERIFF DEPT,,,,,
5134,MO,SALINE COUNTY SHERIFFS DEPT,,,,,
5135,MO,SAVANNAH POLICE DEPARTMENT,,,,,
5136,MO,SCHUYLER COUNTY SHERIFF DEPT,,,,,
5137,MO,SCHUYLER COUNTY SHERIFF'S OFFICE,,,,,
5138,MO,SCHUYLER COUNTY SHERIFFS OFFICE,,,,,
5139,MO,SCOTLAND COUNTY SHERIFF DEPT,,,,,
5140,MO,SCOTT CITY POLICE DEPT,,,,,
5141,MO,SCOTT COUNTY SHERIFF OFFICE,,,,,
5142,MO,SEDALIA POLICE DEPT,,,,,
5143,MO,SELIGMAN POLICE DEPT,,,,,
5144,MO,SENECA POLICE DEPT,,,,,
5145,MO,SEYMOUR POLICE DEPT,,,,,
5146,MO,SHELBINA POLICE DEPT,,,,,
5147,MO,SOUTHWEST CITY POLICE DEPARTMENT,,,,,
5148,MO,SPRINGFIELD AIRPORT POLICE DEPT,,,,,
5149,MO,SPRINGFIELD BRANSON AIRPORT LEA,,,,,
5150,MO,SPRINGFIELD POLICE DEPT,,,,,
5151,MO,ST. CHARLES CO POLICE DEPARTMENT,,,,,
5152,MO,ST. CHARLES COUNTY POLICE DEPT,,,,,
5153,MO,ST. CLAIR COUNTY SHERIFF OFFICE,,,,,
5154,MO,STODDARD COUNTY SHERIFF DEPT,,,,,
5155,MO,STODDARD COUNTY SHERIFF OFFICE,,,,,
5156,MO,STONE COUNTY SHERIFF DEPT,,,,,
5157,MO,STONE COUNTY SHERIFF OFFICE,,,,,
5158,MO,STOVER POLICE DEPT,,,,,
5159,MO,STURGEON POLICE DEPT,,,,,
5160,MO,SUGAR CREEK POLICE DEPT,,,,,
5161,MO,SWEET SPRINGS POLICE DEPT,,,,,
5162,MO,TERRE DU LAC POLICE DEPT,,,,,
5163,MO,THAYER POLICE DEPT,,,,,
5164,MO,TOWN OF WEST SULLIVAN POLICE DEPT,,,,,
5165,MO,TRENTON POLICE DEPT,,,,,
5166,MO,TROY POLICE DEPARTMENT,,,,,
5167,MO,TROY POLICE DEPT,,,,,
5168,MO,UNION POLICE DEPT,,,,,
5169,MO,UNIONVILLE POLICE DEPT,,,,,
5170,MO,US MARSHAL SERVICE ST LOUIS,,,,,
5171,MO,VELDA CITY POLICE DEPT,,,,,
5172,MO,VERNON COUNTY SHERIFF DEPT,,,,,
5173,MO,VERNON COUNTY SHERIFF OFFICE,,,,,
5174,MO,VERONA POLICE DEPT,,,,,
5175,MO,VERSAILLES POLICE DEPT,,,,,
5176,MO,VIENNA POLICE DEPARTMENT,,,,,
5177,MO,WALNUT GROVE POLICE,,,,,
5178,MO,WARRENTON POLICE DEPT,,,,,
5179,MO,WASHINGTON COUNTY SHERIFF DEPT,,,,,
5180,MO,WASHINGTON COUNTY SHERIFF OFFICE,,,,,
5181,MO,WASHINGTON POLICE DEPT,,,,,
5182,MO,WAVERLY POLICE DEPT,,,,,
5183,MO,WAYNE COUNTY SHERIFF DEPT,,,,,
5184,MO,WAYNESVILLE POLICE DEPT,,,,,
5185,MO,WEBB CITY POLICE DEPT,,,,,
5186,MO,WEBSTER COUNTY SHERIFF DEPT,,,,,
5187,MO,WEBSTER COUNTY SHERIFF OFFICE,,,,,
5188,MO,WELLSTON POLICE DEPT,,,,,
5189,MO,WEST PLAINS POLICE DEPT,,,,,
5190,MO,WESTON POLICE DEPT,,,,,
5191,MO,WHEATON POLICE DEPT,,,,,
5192,MO,WILLARD POLICE DEPT,,,,,
5193,MO,WILLOW SPRINGS POLICE DEPT,,,,,
5194,MO,WINFIELD POLICE DEPT,,,,,
5195,MO,WINONA POLICE DEPT,,,,,
5196,MO,WRIGHT CITY POLICE DEPT,,,,,
5197,MO,WRIGHT COUNTY SHERIFF OFFICE,,,,,
5198,MO,WRIGHT COUNTY SHERIFFS DEPT,,,,,
5199,MS,ADAMS COUNTY SHERIFF DEPT,,,,,
5200,MS,ADAMS COUNTY SHERIFFS OFFICE,,,,,
5201,MS,ALCORN COUNTY SHERIFF DEPT,,,,,
5202,MS,ALCORN COUNTY SHERIFFS OFFICE,,,,,
5203,MS,ATTALA COUNTY SHERIFF DEPT,,,,,
5204,MS,BAY SPRINGS POLICE DEPT,,,,,
5205,MS,BAY ST LOUIS POLICE DEPT,,,,,
5206,MS,BELMONT POLICE DEPT,,,,,
5207,MS,BILOXI POLICE DEPT,,,,,
5208,MS,BOONEVILLE POLICE DEPT,,,,,
5209,MS,BRANDON POLICE DEPT,,,,,
5210,MS,BRUCE POLICE DEPT,,,,,
5211,MS,BYHALIA POLICE DEPT,,,,,
5212,MS,CALHOUN COUNTY SHERIFF DEPT,,,,,
5213,MS,CLARKSDALE POLICE DEPT,,,,,
5214,MS,CLEVELAND POLICE DEPT,,,,,
5215,MS,CLINTON POLICE DEPT,,,,,
5216,MS,COAHOMA COUNTY SHERIFF DEPT,,,,,
5217,MS,COFFEEVILLE POLICE DEPT,,,,,
5218,MS,COLUMBUS POLICE DEPT,,,,,
5219,MS,COPIAH COUNTY SHERIFF DEPT,,,,,
5220,MS,CRYSTAL SPRINGS POLICE DEPT,,,,,
5221,MS,DECATUR POLICE DEPT,,,,,
5222,MS,DESOTO COUNTY SHERIFF DEPT,,,,,
5223,MS,DHS/ICE PEARL,,,,,
5224,MS,DIAMONDHEAD POLICE DEPARTMENT,,,,,
5225,MS,DIBERVILLE POLICE DEPT,,,,,
5226,MS,DOI/NPS NATCHEZ TRACE PKWY,,,,,
5227,MS,DOJ/FBI JACKSON DIV GULFPORT,,,,,
5228,MS,FARMINGTON POLICE DEPT,,,,,
5229,MS,FBI JACKSON DIV GULFPORT RES AGENCY,,,,,
5230,MS,FLORENCE POLICE DEPT,,,,,
5231,MS,FLOWOOD POLICE DEPT,,,,,
5232,MS,FOREST POLICE DEPT,,,,,
5233,MS,FORREST COUNTY SHERIFF DEPT,,,,,
5234,MS,FORREST COUNTY SHERIFFS OFFICE,,,,,
5235,MS,FULTON POLICE DEPT,,,,,
5236,MS,GEORGE COUNTY SHERIFF DEPT,,,,,
5237,MS,GEORGE COUNTY SHERIFF OFFICE,,,,,
5238,MS,GREENE COUNTY SHERIFF DEPT,,,,,
5239,MS,GREENWOOD POLICE DEPT,,,,,
5240,MS,GRENADA COUNTY SHERIFF DEPT,,,,,
5241,MS,GRENADA COUNTY SHERIFFS OFFICE,,,,,
5242,MS,GRENADA POLICE DEPT,,,,,
5243,MS,GULFPORT POLICE DEPT,,,,,
5244,MS,GUNTOWN POLICE DEPT,,,,,
5245,MS,HANCOCK COUNTY SHERIFF OFFICE,,,,,
5246,MS,HANCOCK COUNTY SHERIFFS OFFICE,,,,,
